timestamp,service,cpu_percent,memory_percent,request_count,avg_latency_ms,error_rate,db_cpu_percent,db_latency_ms
2026-09-22 10:00,auth-service,42,51,1200,118,0.5,41,22
2026-09-22 10:01,auth-service,43,51,1230,121,0.6,42,23
2026-09-22 10:02,auth-service,44,52,1190,116,0.4,43,21
2026-09-22 10:03,auth-service,43,52,1250,123,0.5,42,22
2026-09-22 10:04,auth-service,45,52,1270,119,0.7,44,24
2026-09-22 10:05,auth-service,58,57,1390,245,2.1,61,48
2026-09-22 10:06,auth-service,67,61,1450,412,4.8,73,67
2026-09-22 10:07,auth-service,76,66,1510,683,8.9,82,91
2026-09-22 10:08,auth-service,88,72,1580,1042,13.7,91,148
2026-09-22 10:09,auth-service,94,79,1610,1680,18.4,96,231
2026-09-22 10:10,auth-service,96,82,1640,1890,21.2,97,274
